Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
booster-ecarlate-violet-fr,Booster Écarlate & Violet FR,"<p>Booster officiel Écarlate & Violet série de base en français. 10 cartes par booster.</p>",PokeVault,Booster,"booster,fr,ecarlate-violet,nouveau",TRUE,Titre,Défaut,BEV-FR-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv1/logo.png,1
booster-fable-nebuleuse-fr,Booster Fable Nébuleuse FR,"<p>Booster Fable Nébuleuse (EV6.5) en français. 10 cartes par booster.</p>",PokeVault,Booster,"booster,fr,fable-nebuleuse",TRUE,Titre,Défaut,BFN-FR-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv6pt5/logo.png,1
booster-couronne-stellaire-fr,Booster Couronne Stellaire FR,"<p>Booster Couronne Stellaire (EV07) en français. 10 cartes par booster.</p>",PokeVault,Booster,"booster,fr,couronne-stellaire",TRUE,Titre,Défaut,BCS-FR-001,4.90,5.50,TRUE,TRUE,https://images.pokemontcg.io/sv7/logo.png,1
booster-mascarade-crepusculaire-fr,Booster Mascarade Crépusculaire FR,"<p>Booster Mascarade Crépusculaire (EV06) en français. 10 cartes par booster.</p>",PokeVault,Booster,"booster,fr,mascarade-crepusculaire",TRUE,Titre,Défaut,BMC-FR-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv6/logo.png,1
booster-forces-temporelles-fr,Booster Forces Temporelles FR,"<p>Booster Forces Temporelles (EV05) en français. 10 cartes par booster.</p>",PokeVault,Booster,"booster,fr,forces-temporelles",TRUE,Titre,Défaut,BFT-FR-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv5/logo.png,1
booster-cyber-judge-jp,Booster Cyber Judge JP,"<p>Booster Cyber Judge (SV5M) en japonais. 5 cartes par booster.</p>",PokeVault,Booster,"booster,jp,cyber-judge",TRUE,Titre,Défaut,BCJ-JP-001,3.50,,TRUE,TRUE,https://images.pokemontcg.io/sv5M/logo.png,1
booster-stellar-miracle-jp,Booster Stellar Miracle JP,"<p>Booster Stellar Miracle (SV7) en japonais. 5 cartes par booster.</p>",PokeVault,Booster,"booster,jp,stellar-miracle",TRUE,Titre,Défaut,BSM-JP-001,3.50,,TRUE,TRUE,https://images.pokemontcg.io/sv7/logo.png,1
booster-twilight-masquerade-en,Booster Twilight Masquerade EN,"<p>Booster Twilight Masquerade (SV6) en anglais. 10 cartes par booster.</p>",PokeVault,Booster,"booster,en,twilight-masquerade",TRUE,Titre,Défaut,BTM-EN-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv6/logo.png,1
booster-stellar-crown-en,Booster Stellar Crown EN,"<p>Booster Stellar Crown (SV7) en anglais. 10 cartes par booster.</p>",PokeVault,Booster,"booster,en,stellar-crown",TRUE,Titre,Défaut,BSC-EN-001,4.90,,TRUE,TRUE,https://images.pokemontcg.io/sv7/logo.png,1
sleeve-classic,Sleeve Classic x65,"<p>Protection classique pour cartes Pokémon standard. Lot de 65 sleeves. Protection optimale contre l'usure et l'humidité.</p>",PokeVault,Sleeve,"sleeve,protection,classique",TRUE,Titre,Défaut,SLC-001,9.90,,TRUE,TRUE,,1
sleeve-languette,Sleeve Languette x65,"<p>Sleeve avec languette pour une ouverture facilitée. Lot de 65 sleeves. Idéal pour les joueurs compétitifs.</p>",PokeVault,Sleeve,"sleeve,protection,languette",TRUE,Titre,Défaut,SLL-001,12.90,,TRUE,TRUE,,1
protection-etb-uv,Protection ETB 100% UV Rigide Aimantée,"<p>Protection rigide aimantée pour Elite Trainer Box (ETB). Filtre 100% UV pour protéger vos cartes de la décoloration. Fermeture magnétique sécurisée.</p>",PokeVault,Protection,"protection,etb,uv,rigide,aimante,premium",TRUE,Titre,Défaut,PETB-UV-001,24.90,,TRUE,TRUE,,1
protection-display-rigide,Protection Display Rigide Aimantée,"<p>Protection rigide aimantée pour display de 36 boosters. Préserve l'intégrité et la valeur de votre display. Fermeture magnétique.</p>",PokeVault,Protection,"protection,display,rigide,aimante,premium",TRUE,Titre,Défaut,PDR-001,34.90,,TRUE,TRUE,,1
protection-display-bundle,Protection Display Bundle,"<p>Bundle complet : protection display rigide aimantée + protection ETB 100% UV. La solution tout-en-un pour protéger votre collection.</p>",PokeVault,Protection,"protection,display,etb,bundle,premium",TRUE,Titre,Défaut,PDB-001,49.90,59.80,TRUE,TRUE,,1
toploader-standard,Toploader Standard 35pt x25,"<p>Toploader rigide standard 35pt pour cartes Pokémon. Lot de 25 toploaders. Protection maximale pour vos cartes de valeur.</p>",PokeVault,Toploader,"toploader,protection,standard,35pt",TRUE,Titre,Défaut,TLS-001,6.90,,TRUE,TRUE,,1
toploader-premium,Toploader Premium 55pt x10,"<p>Toploader épais 55pt pour cartes graded ou extra-épaisses. Lot de 10 toploaders premium.</p>",PokeVault,Toploader,"toploader,protection,premium,55pt",TRUE,Titre,Défaut,TLP-001,8.90,,TRUE,TRUE,,1
